time,"I(LIP|XI3|XN_05_)"
9.140000e-11,-2.521530e-07
9.160000e-11,-2.520884e-07
9.180000e-11,-2.520012e-07
9.200000e-11,-2.519005e-07
9.220000e-11,-2.517967e-07
9.240000e-11,-2.517004e-07
9.260000e-11,-2.516213e-07
9.280000e-11,-2.515671e-07
9.300000e-11,-2.515430e-07
9.320000e-11,-2.515508e-07
9.340000e-11,-2.515892e-07
9.360000e-11,-2.516536e-07
9.380000e-11,-2.517369e-07
9.400000e-11,-2.518300e-07
9.420000e-11,-2.519232e-07
9.440000e-11,-2.520067e-07
9.460000e-11,-2.520722e-07
9.480000e-11,-2.521131e-07
9.500000e-11,-2.521259e-07
9.520000e-11,-2.521097e-07
9.540000e-11,-2.520670e-07
9.560000e-11,-2.520029e-07
9.580000e-11,-2.519247e-07
9.600000e-11,-2.518408e-07
9.620000e-11,-2.517603e-07
9.640000e-11,-2.516915e-07
9.660000e-11,-2.516414e-07
9.680000e-11,-2.516146e-07
9.700000e-11,-2.516135e-07
9.720000e-11,-2.516372e-07
9.740000e-11,-2.516826e-07
9.760000e-11,-2.517443e-07
9.780000e-11,-2.518153e-07
9.800000e-11,-2.518877e-07
9.820000e-11,-2.519538e-07
9.840000e-11,-2.520069e-07
9.860000e-11,-2.520417e-07
9.880000e-11,-2.520553e-07
9.900000e-11,-2.520468e-07
9.920000e-11,-2.520179e-07
9.940000e-11,-2.519725e-07
9.960000e-11,-2.519159e-07
9.980000e-11,-2.518545e-07
1.000000e-10,-2.517951e-07
1.002000e-10,-2.499297e-07
1.004000e-10,-2.472040e-07
1.006000e-10,-2.459580e-07
1.008000e-10,-2.495225e-07
1.010000e-10,-2.614821e-07
1.012000e-10,-2.845635e-07
1.014000e-10,-3.196539e-07
1.016000e-10,-3.654418e-07
1.018000e-10,-4.188548e-07
1.020000e-10,-4.760774e-07
1.022000e-10,-5.336794e-07
1.024000e-10,-5.893798e-07
1.026000e-10,-6.422021e-07
1.028000e-10,-6.920958e-07
1.030000e-10,-7.393465e-07
1.032000e-10,-7.841384e-07
1.034000e-10,-8.264855e-07
1.036000e-10,-8.665044e-07
1.038000e-10,-9.048017e-07
1.040000e-10,-9.427021e-07
1.042000e-10,-9.821480e-07
1.044000e-10,-1.025296e-06
1.046000e-10,-1.073993e-06
1.048000e-10,-1.129378e-06
1.050000e-10,-1.191765e-06
1.052000e-10,-1.260841e-06
1.054000e-10,-1.336056e-06
1.056000e-10,-1.417014e-06
1.058000e-10,-1.503720e-06
1.060000e-10,-1.596581e-06
1.062000e-10,-1.696257e-06
1.064000e-10,-1.803432e-06
1.066000e-10,-1.918691e-06
1.068000e-10,-2.042514e-06
1.070000e-10,-2.175425e-06
